Date,USO,FXC
4/13/2015,18.5,78.970001
4/14/2015,18.82,79.580002
4/15/2015,19.709999,80.849998
4/16/2015,19.940001,81.650002
4/17/2015,19.84,81.330002
4/20/2015,19.889999,81.300003
4/21/2015,19.450001,80.949997
4/22/2015,19.360001,81.290001
4/23/2015,19.76,81.860001
4/24/2015,19.67,81.720001
4/27/2015,19.52,82.199997
4/28/2015,19.6,82.660004
4/29/2015,20.120001,82.690002
4/30/2015,20.51,82.43
5/1/2015,20.4,81.779999
5/4/2015,20.280001,82.230003
5/5/2015,20.76,82.379997
5/6/2015,20.82,82.580002
5/7/2015,20.200001,82.019997
5/8/2015,20.42,82.220001
5/11/2015,20.379999,82.110001
5/12/2015,20.74,82.720001
5/13/2015,20.610001,83.050003
5/14/2015,20.530001,82.830002
5/15/2015,20.52,82.690002
5/18/2015,20.440001,81.75
5/19/2015,19.629999,81.290001
5/20/2015,19.84,81.489998
5/21/2015,20.5,81.419998
5/22/2015,20.25,80.839996
5/26/2015,19.690001,79.989998
5/27/2015,19.48,79.809998
5/28/2015,19.559999,79.980003
5/29/2015,20.309999,79.919998
6/1/2015,20.360001,79.330002
6/2/2015,20.68,80.120003
6/3/2015,20.17,79.809998
6/4/2015,19.66,79.529999
6/5/2015,19.9,79.910004
6/8/2015,19.709999,80.199997
6/9/2015,20.209999,80.540001
6/10/2015,20.639999,81.080002
6/11/2015,20.49,80.980003
6/12/2015,20.27,80.739998
6/15/2015,20.15,80.730003
6/16/2015,20.26,80.760002
6/17/2015,20.209999,81.260002
6/18/2015,20.360001,81.279999
6/19/2015,20.02,81
6/22/2015,20.16,80.669998
6/23/2015,20.469999,80.589996
6/24/2015,20.200001,80.190002
6/25/2015,19.98,80.650002
6/26/2015,19.98,80.709999
6/29/2015,19.51,80.230003
6/30/2015,19.879999,79.580002
7/1/2015,19.1,78.980003
7/2/2015,18.93,79.239998
7/6/2015,17.73,78.540001
7/7/2015,17.76,78.199997
7/8/2015,17.379999,78.050003
7/9/2015,17.709999,78.239998
7/10/2015,17.67,78.360001
7/13/2015,17.51,78.029999
7/14/2015,17.719999,78.019997
7/15/2015,17.23,76.949997
7/16/2015,17.049999,76.650002
7/17/2015,16.99,76.559998
7/20/2015,16.690001,76.510002
7/21/2015,16.91,76.790001
7/22/2015,16.34,76.230003
7/23/2015,16.139999,76.239998
7/24/2015,16.030001,76.230003
7/27/2015,15.65,76.220001
7/28/2015,15.85,76.889999
7/29/2015,16.24,76.800003
7/30/2015,16.1,76.400002
7/31/2015,15.59,75.970001
8/3/2015,15.1,75.529999
8/4/2015,15.22,75.389999
8/5/2015,15.03,75.339996
8/6/2015,14.87,75.82
8/7/2015,14.56,75.650002
8/10/2015,14.89,76.449997
8/11/2015,14.48,75.82
8/12/2015,14.44,76.580002
8/13/2015,14.09,76.050003
8/14/2015,13.99,75.919998
8/17/2015,13.89,75.940002
8/18/2015,14.05,76.089996
8/19/2015,13.43,75.790001
8/20/2015,13.37,75.970001
8/21/2015,13.23,75.43
8/24/2015,12.49,74.919998
8/25/2015,12.73,74.449997
8/26/2015,12.77,74.57
8/27/2015,13.95,75.129997
8/28/2015,14.88,75.169998
8/31/2015,15.89,75.5
9/1/2015,14.81,75.139999
9/2/2015,15.09,74.860001
9/3/2015,15.34,75.269997
9/4/2015,15.08,74.900002
9/8/2015,15.02,75.220001
9/9/2015,14.52,74.989998
9/10/2015,14.93,75.110001
9/11/2015,14.65,74.970001
9/14/2015,14.39,74.919998
9/15/2015,14.57,74.949997
9/16/2015,15.36,75.43
9/17/2015,15.23,75.419998
9/18/2015,14.62,75.18
9/21/2015,15.05,75.010002
9/22/2015,14.92,74.919998
9/23/2015,14.44,74.419998
9/24/2015,14.59,74.599998
9/25/2015,14.71,74.559998
9/28/2015,14.38,74.169998
9/29/2015,14.61,73.989998
9/30/2015,14.68,74.419998
10/1/2015,14.58,74.900002
10/2/2015,14.77,75.43
10/5/2015,15,75.900002
10/6/2015,15.74,76.25
10/7/2015,15.57,75.989998
10/8/2015,16.040001,76.330002
10/9/2015,15.99,76.779999
10/12/2015,15.31,76.309998
10/13/2015,15.06,76.290001
10/14/2015,15.05,76.860001
10/15/2015,15.13,77.300003
10/16/2015,15.22,76.940002
10/19/2015,14.83,76.239998
10/20/2015,14.73,76.480003
10/21/2015,14.43,75.580002
10/22/2015,14.51,75.769997
10/23/2015,14.27,75.330002
10/26/2015,14.01,75.410004
10/27/2015,13.82,74.82
10/28/2015,14.69,75.25
10/29/2015,14.63,75.379997
10/30/2015,14.81,75.910004
11/2/2015,14.75,75.769997
11/3/2015,15.28,76.080002
11/4/2015,14.85,75.459999
11/5/2015,14.48,75.379997
11/6/2015,14.23,74.650002
11/9/2015,14.08,74.760002
11/10/2015,14.09,74.830002
11/11/2015,13.76,74.82
11/12/2015,13.35,74.730003
11/13/2015,13.06,74.529999
11/16/2015,13.39,74.5
11/17/2015,13.01,74.559998
11/18/2015,13.05,74.5
11/19/2015,12.96,74.629997
11/20/2015,12.93,74.389999
11/23/2015,13.02,74.199997
11/24/2015,13.32,74.559998
11/25/2015,13.39,74.650002
11/27/2015,13.03,74.209999
11/30/2015,12.93,74.290001
12/1/2015,12.95,74.260002
12/2/2015,12.48,74.349998
12/3/2015,12.77,74.400002
12/4/2015,12.46,74.190002
12/7/2015,11.72,73.440002
12/8/2015,11.68,73.029999
12/9/2015,11.56,73.129997
12/10/2015,11.37,72.769997
12/11/2015,11.07,72.230003
