RespondentID,IP Address,"On a scale of 1 to 5, please rate your overall opinion of the Black Tie Tailgate. <br><br> - ","What did you like <span style=""text-decoration: underline;"">best</span> about the Black Tie Tailgate? - Open-Ended Response"
4494303323,70.215.86.xxx,3 - good,cars
4479607312,71.230.246.xxx,5 - outstanding,that the money made goes to CHOP
4478255195,74.109.9.xxx,2 - fair,Less crowded view of the show 
4494463718,71.185.210.xxx,4 - excellent,Food and friends
4479370539,50.29.216.xxx,4 - excellent,"Atmosphere, flow of people around the event."
4479436767,71.224.193.xxx,3 - good,Seeing exotics without crowds
4478605662,73.13.112.xxx,2 - fair,cars
4479706865,73.195.71.xxx,3 - good,the atmosphere
4479666226,76.99.53.xxx,3 - good,great cars
4479826736,73.141.157.xxx,5 - outstanding,I love seeing all of the new cars. The jeep presentation is always fun! 
4478053916,100.34.135.xxx,4 - excellent,Access to all the vehicles
4478211213,76.116.44.xxx,5 - outstanding,Anitques and new cars
4479284679,71.207.114.xxx,3 - good,The chance to educate ourselves on new products and visit with our clients
4478492107,108.2.168.xxx,4 - excellent,Good service/food/open 
4481931328,50.191.214.xxx,4 - excellent,Cars
4479345057,108.2.212.xxx,3 - good,Exotic & Luxury car display 
4488903128,144.160.98.xxx,4 - excellent,The music and the dessert
4482369131,69.242.0.xxx,5 - outstanding,Dessert are
4481854981,209.203.79.xxx,2 - fair,cool cars
4483717686,71.224.153.xxx,5 - outstanding,EVERYTHING
4479724660,108.16.231.xxx,5 - outstanding,The catering
4494292707,70.215.86.xxx,5 - outstanding,cars
4478579846,74.103.174.xxx,4 - excellent,"Lively upbeat atmosphere, an enjoyable evening"
4484876901,108.24.91.xxx,5 - outstanding,
4479485241,68.84.32.xxx,4 - excellent,Seeing all of the cars up close and being able to compare them to one another 
4478681004,73.150.163.xxx,3 - good,The Lexus exhibit.
4494591594,73.150.163.xxx,4 - excellent,The live band.
4478380650,70.215.69.xxx,4 - excellent,Seeing all the cars in a relaxed atmosphere and knowing that the proceeds went to charity
4478715517,159.14.243.xxx,4 - excellent,excellent food and drink
4481164225,73.64.18.xxx,4 - excellent,Being able to explore the cars and not have to worry about lines/ too many people surrounding 
4480576695,108.36.203.xxx,5 - outstanding,Where the proceeds go
4494596932,73.150.163.xxx,4 - excellent,The cars.
4478191265,76.116.44.xxx,5 - outstanding,"Totally impressed with the affair!! Something for everyone!! A full night of fun, food, education, loved the antique car display, Pope Mobile, simulated race track, Jeep ride exhibition, friendliness and helpfulness of the staff, etc.   "
4494332884,70.215.86.xxx,5 - outstanding,cars
4478257554,69.249.105.xxx,4 - excellent,Cars
4478290907,68.80.139.xxx,4 - excellent,the entertainment
4479660557,76.99.53.xxx,3 - good,date night with great atmosphere
4483111921,71.175.244.xxx,4 - excellent,Food & less crowded than the show
4478234484,73.13.145.xxx,4 - excellent,Entertainment and golf carts
4482155664,71.225.253.xxx,5 - outstanding,the atmosphere and the ease of using public transportation
4486536968,100.14.68.xxx,5 - outstanding,Live entertainment 
4478687996,100.34.51.xxx,2 - fair,"Entertainment, atmosphere"
4479747647,96.235.134.xxx,4 - excellent,the opportunity to actually sit in the vehicles.
4478331102,98.114.23.xxx,3 - good,Jeep experience
4479795561,72.92.95.xxx,5 - outstanding,The presentation on the red carpet
4478644520,108.2.195.xxx,5 - outstanding,Lots of cars
4479891790,68.81.22.xxx,4 - excellent,A fun night overall
4479169841,100.34.45.xxx,4 - excellent,Exciting evening that benefitted an extremely worthy cause and a chance to have a night out with just my wife and myself sans kids
4478469980,73.195.37.xxx,4 - excellent,"The attendee,s very friendly. Everyone was polite but ready to party. Terrific event."
4493819155,100.34.155.xxx,5 - outstanding,Festive atmosphere for a great cause
4493289897,70.91.2.xxx,5 - outstanding,social
4482006461,76.124.0.xxx,4 - excellent,The glamour and sparkle and beauty.
4488778942,75.88.141.xxx,5 - outstanding,The wonderful staff
4481661590,73.141.9.xxx,5 - outstanding,Entertainment
4493737325,69.137.137.xxx,4 - excellent,food
4478179177,50.166.93.xxx,4 - excellent,Seeing the cars without major crowds
4485141977,66.87.82.xxx,4 - excellent,the Lexus and mercedes section
4477689208,70.215.65.xxx,3 - good,The car selection
4482413990,108.52.175.xxx,5 - outstanding,I love cars and the venue coupled with food and drinks linked to Children's Hospital make it a must do.
4482084457,73.141.9.xxx,4 - excellent,All of the Cars on display and JellyRoll performing at the end.
4485278606,76.124.247.xxx,3 - good,"open bar, not crowded to see the cars"
4494816823,70.215.87.xxx,4 - excellent,cars
